استان,نام استان,شهرستان,نام شهرستان,بخش,نام بخش
29,خراسان جنوبي,05,نهبندان,02,مركزئ
09,خراسان رضوئ,37,باخرز,01,مركزي
09,خراسان رضوئ,37,باخرز,02,بالا ولايت
09,خراسان رضوئ,31,بجستان,01,مركزي
09,خراسان رضوئ,31,بجستان,02,يونسي
09,خراسان رضوئ,23,بردسكن,01,انابد
09,خراسان رضوئ,23,بردسكن,02,مركزئ
09,خراسان رضوئ,23,بردسكن,03,شهرآباد
09,خراسان رضوئ,32,بينالود,01,طرقبه
09,خراسان رضوئ,32,بينالود,02,شانديز
09,خراسان رضوئ,04,تايباد,02,مركزئ
09,خراسان رضوئ,04,تايباد,03,ميان ولايت
09,خراسان رضوئ,06,تربت جام,02,مركزئ
09,خراسان رضوئ,06,تربت جام,03,نصرآباد
09,خراسان رضوئ,06,تربت جام,04,بوژگان
09,خراسان رضوئ,06,تربت جام,05,پائين جام
09,خراسان رضوئ,05,تربت حيدريه,01,بايك
09,خراسان رضوئ,05,تربت حيدريه,05,كدكن
09,خراسان رضوئ,05,تربت حيدريه,06,مركزئ
09,خراسان رضوئ,05,تربت حيدريه,07,جلگه رخ
09,خراسان رضوئ,34,جغتاي,01,مركزي
09,خراسان رضوئ,34,جغتاي,02,هلالي
09,خراسان رضوئ,36,جوين,01,مركزي
09,خراسان رضوئ,36,جوين,02,عطاملك
09,خراسان رضوئ,18,چناران,01,گلبهار
09,خراسان رضوئ,18,چناران,02,مركزئ
09,خراسان رضوئ,29,خليل آباد,01,ششطراز
09,خراسان رضوئ,29,خليل آباد,02,مركزئ
09,خراسان رضوئ,19,خواف,01,سنگان
09,خراسان رضوئ,19,خواف,02,مركزئ
09,خراسان رضوئ,19,خواف,03,جلگه زوزن
09,خراسان رضوئ,19,خواف,04,سلامي
09,خراسان رضوئ,38,خوشاب,01,مركزي
09,خراسان رضوئ,38,خوشاب,02,مشكان
09,خراسان رضوئ,38,خوشاب,03,نوده انقلاب
